,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
0,493017,8203,9987,2008/2009,2009-02-27,HOME_WIN,68.25,59.0,61.0,53.33333333,62.0,58.0,,,,,,,,
1,493025,9984,8342,2008/2009,2009-03-08,AWAY_WIN,70.5,66.0,67.33333333,64.0,73.0,64.0,,,,,,,,
2,493027,8635,10000,2008/2009,2009-03-07,HOME_WIN,58.0,67.0,56.66666667,70.5,61.0,67.0,,,,,,,,
3,493034,8203,8635,2008/2009,2009-03-13,HOME_WIN,69.5,62.33333333,69.25,55.0,67.0,61.0,,,,1.0,1.0,,,
4,493040,10000,9999,2008/2009,2009-03-14,DRAW,64.0,58.0,58.5,61.33333333,64.0,61.0,,,,,,,,
5,493045,9991,10000,2008/2009,2009-03-22,HOME_WIN,57.0,67.5,55.0,66.66666667,61.0,71.0,,,,,,0.0,0.0,
6,493048,9999,8203,2008/2009,2009-03-21,HOME_WIN,62.33333333,64.0,55.0,58.5,61.0,64.0,,,,,,,,
7,493061,8635,8342,2008/2009,2009-04-12,HOME_WIN,70.5,69.0,67.33333333,71.25,73.0,67.0,,,,1.0,1.0,1.0,1.0,
8,493062,9999,9987,2008/2009,2009-04-10,HOME_WIN,66.75,64.0,65.5,58.5,62.0,64.0,,,,1.0,1.0,0.0,0.0,
9,493080,9984,9987,2008/2009,2009-04-26,AWAY_WIN,70.0,62.0,65.6,63.33333333,62.0,64.0,,,,0.0,0.0,0.0,0.0,
10,493082,9999,9991,2008/2009,2009-04-26,AWAY_WIN,69.0,65.5,66.0,58.5,71.0,64.0,,,,1.0,1.0,,,
11,493089,10000,9985,2008/2009,2009-05-02,DRAW,56.0,58.0,71.0,58.25,63.0,61.0,,,,0.0,0.0,,,
12,493092,9991,9984,2008/2009,2009-05-02,HOME_WIN,62.0,68.0,63.33333333,67.33333333,64.0,71.0,,,,1.0,1.0,,,
13,493094,10001,9999,2008/2009,2009-05-02,HOME_WIN,65.0,66.0,58.5,63.0,64.0,67.0,,,,,,0.0,0.0,
14,493097,9985,8342,2008/2009,2009-05-09,HOME_WIN,66.5,74.0,66.5,68.66666667,73.0,63.0,,,,,,0.5,0.5,
15,493103,8635,9999,2008/2009,2009-05-09,HOME_WIN,64.0,69.5,60.0,69.2,64.0,67.0,,,,1.0,1.0,0.0,0.0,
16,493105,9984,10001,2008/2009,2009-05-09,HOME_WIN,66.0,62.0,63.0,63.33333333,67.0,62.0,,,,0.0,0.0,,,
17,493106,9987,8635,2008/2009,2009-05-16,AWAY_WIN,69.0,66.66666667,71.25,66.2,67.0,62.0,,,,,,0.0,0.0,
18,493107,9991,9985,2008/2009,2009-05-16,AWAY_WIN,74.0,69.0,66.6,67.0,63.0,71.0,,,,1.0,1.0,0.0,0.0,
19,665321,9984,9991,2009/2010,2009-08-02,AWAY_WIN,69.5,65.0,67.5,64.33333333,71.0,64.0,0.0,1.0,0.0,0.333333333333,,1.0,,
20,665322,9994,10000,2009/2010,2009-08-01,DRAW,63.0,68.5,63.5,64.66666667,67.0,73.0,,,,,,0.0,,
21,665323,8571,8635,2009/2010,2009-08-01,AWAY_WIN,71.5,66.0,71.0,0.0,71.0,64.0,,,,,,0.5,,
22,665411,8342,8635,2009/2010,2009-10-04,HOME_WIN,71.5,70.0,69.0,68.33333333,71.0,73.0,0.0,1.0,0.0,0.5,0.5,0.75,1.0,
23,665417,8203,9994,2009/2010,2009-10-03,HOME_WIN,67.33333333,65.5,64.66666667,57.5,61.0,70.0,,,,1.0,1.0,0.0,0.0,
24,665421,9993,10001,2009/2010,2009-10-03,HOME_WIN,63.5,62.5,65.0,64.5,67.0,64.0,,,,0.5,0.5,0.0,0.0,
25,665425,8342,9991,2009/2010,2009-10-18,HOME_WIN,69.5,68.5,67.66666667,68.5,71.0,73.0,,,,0.6,0.6,0.4,0.25,
26,665427,9987,8203,2009/2010,2009-10-18,AWAY_WIN,65.5,68.0,57.66666667,65.0,70.0,64.0,0.0,1.0,0.0,0.0,0.0,0.2,0.25,
27,665429,10000,9993,2009/2010,2009-10-17,HOME_WIN,62.5,63.66666667,64.5,63.66666667,64.0,67.0,,,,0.0,0.0,0.333333333333,0.333333333333,
28,665430,9994,9984,2009/2010,2009-10-17,DRAW,64.5,68.0,65.0,65.0,62.0,73.0,,,,0.0,0.0,0.0,0.0,
29,665435,10001,9985,2009/2010,2009-10-17,HOME_WIN,77.0,64.0,68.5,63.5,70.0,67.0,,,,0.25,0.0,0.5,0.5,
