,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating
387,665330,9991,8203,2009/2010,2009-08-09 00:00:00,HOME_WIN,67.0,70.0,60.3333333333,67.0
388,665332,10001,8571,2009/2010,2009-08-08 00:00:00,DRAW,67.0,63.0,63.0,63.0
389,665333,9993,9985,2009/2010,2009-08-07 00:00:00,DRAW,69.3333333333,69.0,69.3333333333,64.75
390,665639,8342,9984,2009/2010,2009-12-26 00:00:00,HOME_WIN,64.0,70.0,64.75,69.5
391,665641,9985,9994,2009/2010,2009-12-26 00:00:00,HOME_WIN,68.0,72.3333333333,64.6666666667,67.6
395,665647,9991,8635,2009/2010,2009-12-27 00:00:00,DRAW,73.0,68.6666666667,70.6,68.0
397,665653,8635,10000,2009/2010,2009-12-30 00:00:00,HOME_WIN,67.0,72.6666666667,64.0,70.6
399,665655,9984,9985,2009/2010,2009-12-29 00:00:00,HOME_WIN,72.5,64.0,68.0,64.5
400,665657,9994,9993,2009/2010,2009-12-30 00:00:00,HOME_WIN,67.5,67.0,65.1666666667,65.0
401,665659,8571,8342,2009/2010,2009-12-30 00:00:00,AWAY_WIN,70.0,66.0,69.4,63.6666666667
405,665666,9985,8635,2009/2010,2010-01-17 00:00:00,AWAY_WIN,73.0,74.5,70.6,69.5
410,665672,9993,9984,2009/2010,2010-01-17 00:00:00,AWAY_WIN,64.0,67.5,64.6666666667,65.6
411,665674,9987,8342,2009/2010,2010-01-24 00:00:00,HOME_WIN,70.0,66.3333333333,69.3333333333,63.75
412,665675,10000,9997,2009/2010,2010-01-23 00:00:00,HOME_WIN,63.0,65.5,62.5,64.0
414,665679,9994,9999,2009/2010,2010-01-23 00:00:00,AWAY_WIN,64.6666666667,65.5,60.6666666667,65.0
415,665680,8571,9993,2009/2010,2010-01-23 00:00:00,HOME_WIN,67.5,65.5,65.2,63.5
416,665681,8203,9985,2009/2010,2010-01-24 00:00:00,DRAW,74.5,65.6666666667,70.0,60.3333333333
418,665686,9985,8571,2009/2010,2010-01-31 00:00:00,HOME_WIN,65.5,70.0,63.5,72.5
419,665687,9997,10001,2009/2010,2010-02-03 00:00:00,AWAY_WIN,65.0,63.0,65.5,62.5
421,665689,9991,10000,2009/2010,2010-01-31 00:00:00,AWAY_WIN,67.0,70.0,64.0,66.6666666667
424,665695,9993,8635,2009/2010,2010-01-29 00:00:00,AWAY_WIN,73.0,67.6666666667,70.75,65.6
425,665698,8635,9997,2009/2010,2010-02-06 00:00:00,AWAY_WIN,63.0,75.0,61.75,70.25
426,665699,9987,9985,2009/2010,2010-02-07 00:00:00,HOME_WIN,77.0,68.3333333333,70.6,65.5
427,665700,10000,8342,2009/2010,2010-02-07 00:00:00,DRAW,70.0,65.5,69.1666666667,64.0
428,665702,9984,9999,2009/2010,2010-02-06 00:00:00,HOME_WIN,64.6666666667,62.0,60.6666666667,64.75
429,665704,9994,8203,2009/2010,2010-02-06 00:00:00,HOME_WIN,66.0,65.0,60.3333333333,66.0
432,665712,9985,10001,2009/2010,2010-02-14 00:00:00,HOME_WIN,65.0,72.0,64.6666666667,70.3333333333
434,665719,9984,9994,2009/2010,2010-03-06 00:00:00,HOME_WIN,65.0,64.0,64.0,64.75
435,665721,9991,8342,2009/2010,2010-02-14 00:00:00,DRAW,69.0,69.0,69.6666666667,68.0
438,665727,9993,10000,2009/2010,2010-03-07 00:00:00,DRAW,67.0,69.0,64.0,64.8571428571
439,665728,8342,9985,2009/2010,2010-02-21 00:00:00,HOME_WIN,74.5,69.0,65.6666666667,69.6
440,665729,8635,8203,2009/2010,2010-02-21 00:00:00,HOME_WIN,66.5,72.0,60.6666666667,70.25
441,665730,9987,9994,2009/2010,2010-02-19 00:00:00,HOME_WIN,65.0,68.3333333333,66.0,65.5
444,665733,8571,9984,2009/2010,2010-02-20 00:00:00,HOME_WIN,62.0,65.5,64.75,64.0
446,665737,9997,8342,2009/2010,2010-02-28 00:00:00,DRAW,70.0,63.0,69.6,61.75
448,665739,9984,9987,2009/2010,2010-02-27 00:00:00,HOME_WIN,68.0,64.0,65.5,64.75
450,665741,8203,8571,2009/2010,2010-02-27 00:00:00,DRAW,65.5,66.5,63.6666666667,60.6666666667
454,665745,8635,9987,2009/2010,2010-03-14 00:00:00,HOME_WIN,68.6666666667,73.0,63.75,70.5
456,665749,10000,9985,2009/2010,2010-03-14 00:00:00,DRAW,74.0,67.0,69.5,64.0
458,665753,8571,9994,2009/2010,2010-03-14 00:00:00,HOME_WIN,64.5,65.5,64.5,63.6666666667
459,665757,10001,9984,2009/2010,2010-03-14 00:00:00,HOME_WIN,64.0,59.5,64.75,64.6666666667
460,665334,8635,10001,2009/2010,2009-08-15 00:00:00,HOME_WIN,62.0,73.0,63.25,71.0
461,665335,9987,9991,2009/2010,2009-08-15 00:00:00,DRAW,69.0,65.5,67.0,64.25
463,665337,9984,10000,2009/2010,2009-08-15 00:00:00,DRAW,64.0,67.5,63.3333333333,64.3333333333
465,665340,8203,8342,2009/2010,2009-08-15 00:00:00,HOME_WIN,68.0,65.5,67.2,60.3333333333
468,665763,9987,8571,2009/2010,2010-03-21 00:00:00,DRAW,65.5,63.6666666667,63.6666666667,65.6666666667
469,665767,9984,9997,2009/2010,2010-03-21 00:00:00,HOME_WIN,63.0,64.5,64.25,65.0
471,665771,8203,10000,2009/2010,2010-03-21 00:00:00,HOME_WIN,67.0,66.5,63.3333333333,61.3333333333
473,665775,9993,8342,2009/2010,2010-03-21 00:00:00,AWAY_WIN,68.5,66.5,69.75,65.0
474,665342,8342,8571,2009/2010,2009-08-23 00:00:00,DRAW,66.0,68.0,63.0,67.25
477,665345,10000,8635,2009/2010,2009-08-22 00:00:00,AWAY_WIN,0.0,63.0,69.75,63.5
478,665346,9991,9994,2009/2010,2009-08-22 00:00:00,HOME_WIN,68.5,69.0,64.6666666667,66.6666666667
480,665349,9993,8203,2009/2010,2009-08-22 00:00:00,AWAY_WIN,65.5,67.5,60.3333333333,65.4
481,665352,8635,9985,2009/2010,2009-08-30 00:00:00,DRAW,74.5,0.0,70.5,70.2
482,665353,9987,9993,2009/2010,2009-08-30 00:00:00,DRAW,69.0,62.5,64.6,63.6666666667
483,665354,9984,8342,2009/2010,2009-08-30 00:00:00,AWAY_WIN,70.0,70.0,67.4,64.3333333333
484,665357,8571,9991,2009/2010,2009-08-29 00:00:00,HOME_WIN,69.0,66.0,66.6666666667,63.5
487,665360,10001,10000,2009/2010,2009-08-28 00:00:00,AWAY_WIN,63.6666666667,65.0,63.6666666667,63.6666666667
488,665361,8342,9987,2009/2010,2009-09-13 00:00:00,DRAW,68.0,70.0,63.25,67.25
489,665362,9985,8203,2009/2010,2009-09-12 00:00:00,HOME_WIN,65.5,74.5,60.3333333333,71.3333333333
491,665364,10000,8571,2009/2010,2009-09-12 00:00:00,AWAY_WIN,66.0,64.0,63.5,63.5
493,665366,9991,9999,2009/2010,2009-09-12 00:00:00,HOME_WIN,67.5,69.0,60.0,66.5
494,665368,9993,9994,2009/2010,2009-09-13 00:00:00,HOME_WIN,68.0,62.5,64.6666666667,64.5
495,665370,8635,9991,2009/2010,2009-09-20 00:00:00,DRAW,69.5,74.0,66.5,68.8
497,665374,9984,9993,2009/2010,2009-09-19 00:00:00,AWAY_WIN,62.5,64.0,64.5,64.75
498,665376,9994,9985,2009/2010,2009-09-19 00:00:00,AWAY_WIN,69.3333333333,67.3333333333,70.0,65.0
501,665380,10001,8342,2009/2010,2009-09-20 00:00:00,AWAY_WIN,70.0,66.3333333333,68.5,65.0
502,665384,8342,10000,2009/2010,2009-09-23 00:00:00,HOME_WIN,64.5,68.0,63.6666666667,68.5
503,665385,9985,9984,2009/2010,2009-09-23 00:00:00,DRAW,64.5,69.3333333333,64.0,68.5
508,665393,9993,8571,2009/2010,2009-09-23 00:00:00,HOME_WIN,66.0,62.5,63.5,64.5
509,665396,8635,9993,2009/2010,2009-09-27 00:00:00,HOME_WIN,62.5,72.0,64.5,69.0
512,665402,9984,8203,2009/2010,2009-09-28 00:00:00,HOME_WIN,65.5,64.5,59.0,64.75
514,665405,8571,9985,2009/2010,2009-09-26 00:00:00,AWAY_WIN,72.0,66.0,68.6666666667,63.5
517,838468,8571,8342,2010/2011,2010-07-31 00:00:00,HOME_WIN,70.0,65.0,70.25,61.3333333333
520,838473,8635,6351,2010/2011,2010-07-31 00:00:00,HOME_WIN,62.0,72.0,59.4,72.25
523,838476,9987,9993,2010/2011,2010-08-01 00:00:00,HOME_WIN,0.0,70.3333333333,65.0,67.5
524,838581,8342,9991,2010/2011,2010-10-03 00:00:00,HOME_WIN,69.0,71.0,67.3333333333,69.6666666667
525,838582,9985,8635,2010/2011,2010-10-03 00:00:00,HOME_WIN,74.0,70.6666666667,72.6666666667,68.25
528,838585,9994,9993,2010/2011,2010-10-02 00:00:00,HOME_WIN,66.5,0.0,64.3333333333,64.0
529,838586,8571,6351,2010/2011,2010-10-02 00:00:00,HOME_WIN,61.5,65.0,58.8,59.3333333333
530,838587,8203,9987,2010/2011,2010-10-01 00:00:00,DRAW,69.5,66.0,67.5,64.6
531,838588,9989,9984,2010/2011,2010-10-02 00:00:00,AWAY_WIN,65.0,70.5,65.0,63.0
532,838590,9991,8571,2010/2011,2010-10-16 00:00:00,HOME_WIN,66.0,69.0,60.0,65.6666666667
533,838591,9987,9985,2010/2011,2010-10-17 00:00:00,HOME_WIN,70.6666666667,68.3333333333,68.5,67.5
534,838593,9993,9989,2010/2011,2010-10-16 00:00:00,DRAW,68.5,64.0,63.75,64.25
535,838594,10000,8342,2010/2011,2010-10-15 00:00:00,AWAY_WIN,71.0,64.6666666667,69.6666666667,65.5
537,838596,6351,9997,2010/2011,2010-10-16 00:00:00,HOME_WIN,0.0,65.0,63.4,59.75
538,838597,10001,8203,2010/2011,2010-10-16 00:00:00,DRAW,66.0,69.5,64.6,64.5
539,838598,9984,8635,2010/2011,2010-10-17 00:00:00,HOME_WIN,73.5,65.0,72.25,65.0
540,838599,8635,10001,2010/2011,2010-10-24 00:00:00,HOME_WIN,67.6666666667,74.0,64.5,72.6666666667
541,838600,9985,9991,2010/2011,2010-10-24 00:00:00,HOME_WIN,69.0,70.6666666667,68.0,68.25
543,838603,9994,8342,2010/2011,2010-10-24 00:00:00,HOME_WIN,71.0,67.0,69.3333333333,64.0
544,838604,8571,9987,2010/2011,2010-10-22 00:00:00,HOME_WIN,68.3333333333,65.0,67.5,60.0
545,838605,8203,9993,2010/2011,2010-10-23 00:00:00,HOME_WIN,66.5,66.5,64.6666666667,64.6
546,838606,9989,10000,2010/2011,2010-10-23 00:00:00,DRAW,67.0,67.3333333333,64.3333333333,64.75
547,838607,9984,6351,2010/2011,2010-10-23 00:00:00,HOME_WIN,65.0,65.0,59.75,65.0
548,838621,8342,9985,2010/2011,2010-10-31 00:00:00,DRAW,70.6666666667,71.0,68.25,69.4
549,838622,9991,8203,2010/2011,2010-10-30 00:00:00,HOME_WIN,66.5,69.0,64.6,65.6666666667
550,838623,9987,8635,2010/2011,2010-10-31 00:00:00,AWAY_WIN,73.5,70.3333333333,72.3333333333,67.5
552,838625,10000,9994,2010/2011,2010-10-30 00:00:00,DRAW,67.0,66.0,64.0,64.3333333333
555,838632,10001,9984,2010/2011,2010-10-30 00:00:00,HOME_WIN,65.0,67.3333333333,64.75,64.5
556,838635,8635,8342,2010/2011,2010-11-07 00:00:00,DRAW,71.0,73.5,69.0,72.3333333333
557,838636,9985,6351,2010/2011,2010-11-06 00:00:00,AWAY_WIN,61.5,70.6666666667,59.75,69.0
558,838639,9997,10000,2010/2011,2010-11-06 00:00:00,AWAY_WIN,66.0,60.0,65.5,64.3333333333
559,838640,8571,9993,2010/2011,2010-11-06 00:00:00,HOME_WIN,69.0,65.0,64.2,60.0
562,838644,10001,9987,2010/2011,2010-11-05 00:00:00,DRAW,70.3333333333,67.3333333333,67.5,65.0
563,838646,9984,9991,2010/2011,2010-11-07 00:00:00,AWAY_WIN,68.5,65.0,63.0,64.75
564,838651,8342,9989,2010/2011,2010-11-13 00:00:00,HOME_WIN,67.3333333333,71.0,63.75,69.0
565,838652,9991,8635,2010/2011,2010-11-14 00:00:00,AWAY_WIN,73.5,69.0,72.3333333333,63.0
566,838654,9987,9984,2010/2011,2010-11-13 00:00:00,HOME_WIN,65.0,69.25,65.0,67.0
