,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Goalkeeper_rating,home_Goalkeeper_rating
411,665674,9987,8342,2009/2010,2010-01-24 00:00:00,HOME_WIN,72.0,67.0
412,665675,10000,9997,2009/2010,2010-01-23 00:00:00,HOME_WIN,67.0,67.0
414,665679,9994,9999,2009/2010,2010-01-23 00:00:00,AWAY_WIN,64.0,61.0
415,665680,8571,9993,2009/2010,2010-01-23 00:00:00,HOME_WIN,66.0,67.0
416,665681,8203,9985,2009/2010,2010-01-24 00:00:00,DRAW,71.0,62.0
418,665686,9985,8571,2009/2010,2010-01-31 00:00:00,HOME_WIN,67.0,71.0
419,665687,9997,10001,2009/2010,2010-02-03 00:00:00,AWAY_WIN,67.0,67.0
421,665689,9991,10000,2009/2010,2010-01-31 00:00:00,AWAY_WIN,67.0,71.0
424,665695,9993,8635,2009/2010,2010-01-29 00:00:00,AWAY_WIN,71.0,66.0
425,665698,8635,9997,2009/2010,2010-02-06 00:00:00,AWAY_WIN,67.0,71.0
426,665699,9987,9985,2009/2010,2010-02-07 00:00:00,HOME_WIN,71.0,67.0
427,665700,10000,8342,2009/2010,2010-02-07 00:00:00,DRAW,72.0,67.0
428,665702,9984,9999,2009/2010,2010-02-06 00:00:00,HOME_WIN,64.0,64.0
429,665704,9994,8203,2009/2010,2010-02-06 00:00:00,HOME_WIN,62.0,73.0
432,665712,9985,10001,2009/2010,2010-02-14 00:00:00,HOME_WIN,67.0,71.0
434,665719,9984,9994,2009/2010,2010-03-06 00:00:00,HOME_WIN,73.0,64.0
435,665721,9991,8342,2009/2010,2010-02-14 00:00:00,DRAW,72.0,71.0
438,665727,9993,10000,2009/2010,2010-03-07 00:00:00,DRAW,67.0,66.0
439,665728,8342,9985,2009/2010,2010-02-21 00:00:00,HOME_WIN,71.0,72.0
440,665729,8635,8203,2009/2010,2010-02-21 00:00:00,HOME_WIN,62.0,71.0
441,665730,9987,9994,2009/2010,2010-02-19 00:00:00,HOME_WIN,73.0,67.0
444,665733,8571,9984,2009/2010,2010-02-20 00:00:00,HOME_WIN,64.0,60.5
446,665737,9997,8342,2009/2010,2010-02-28 00:00:00,DRAW,72.0,67.0
448,665739,9984,9987,2009/2010,2010-02-27 00:00:00,HOME_WIN,57.0,64.0
450,665741,8203,8571,2009/2010,2010-02-27 00:00:00,DRAW,67.0,62.0
454,665745,8635,9987,2009/2010,2010-03-14 00:00:00,HOME_WIN,67.0,72.0
456,665749,10000,9985,2009/2010,2010-03-14 00:00:00,DRAW,71.0,67.0
458,665753,8571,9994,2009/2010,2010-03-14 00:00:00,HOME_WIN,73.0,67.0
459,665757,10001,9984,2009/2010,2010-03-14 00:00:00,HOME_WIN,64.0,67.0
460,665334,8635,10001,2009/2010,2009-08-15 00:00:00,HOME_WIN,67.0,71.0
461,665335,9987,9991,2009/2010,2009-08-15 00:00:00,DRAW,71.0,64.0
463,665337,9984,10000,2009/2010,2009-08-15 00:00:00,DRAW,67.0,62.0
465,665340,8203,8342,2009/2010,2009-08-15 00:00:00,HOME_WIN,73.0,61.0
468,665763,9987,8571,2009/2010,2010-03-21 00:00:00,DRAW,67.0,67.0
469,665767,9984,9997,2009/2010,2010-03-21 00:00:00,HOME_WIN,58.0,64.0
471,665771,8203,10000,2009/2010,2010-03-21 00:00:00,HOME_WIN,67.0,62.0
473,665775,9993,8342,2009/2010,2010-03-21 00:00:00,AWAY_WIN,72.0,66.0
474,665342,8342,8571,2009/2010,2009-08-23 00:00:00,DRAW,64.0,73.0
477,665345,10000,8635,2009/2010,2009-08-22 00:00:00,AWAY_WIN,71.0,67.0
478,665346,9991,9994,2009/2010,2009-08-22 00:00:00,HOME_WIN,73.0,71.0
480,665349,9993,8203,2009/2010,2009-08-22 00:00:00,AWAY_WIN,61.0,64.0
481,665352,8635,9985,2009/2010,2009-08-30 00:00:00,DRAW,70.0,71.0
482,665353,9987,9993,2009/2010,2009-08-30 00:00:00,DRAW,64.0,64.0
483,665354,9984,8342,2009/2010,2009-08-30 00:00:00,AWAY_WIN,65.0,62.0
484,665357,8571,9991,2009/2010,2009-08-29 00:00:00,HOME_WIN,71.0,64.0
487,665360,10001,10000,2009/2010,2009-08-28 00:00:00,AWAY_WIN,67.0,67.0
488,665361,8342,9987,2009/2010,2009-09-13 00:00:00,DRAW,64.0,65.0
489,665362,9985,8203,2009/2010,2009-09-12 00:00:00,HOME_WIN,61.0,70.0
491,665364,10000,8571,2009/2010,2009-09-12 00:00:00,AWAY_WIN,64.0,67.0
493,665366,9991,9999,2009/2010,2009-09-12 00:00:00,HOME_WIN,64.0,71.0
494,665368,9993,9994,2009/2010,2009-09-13 00:00:00,HOME_WIN,73.0,64.0
