trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.7, 'e': 0.03148979094221854}",20,14,11.043302599593058,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.030917363525230248}",20,14,12.634818570174604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.03035826527041667}",25,8,31.017632580249135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.029812103675778228}",25,11,15.72415063395962,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.029278500561320604}",20,4,-13.41923825951511,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.028757091436375965}",20,14,12.26036591321102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.02824752489999998}",20,0,17.29522602916712,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.7, 'e': 0.027749462072439734}",25,18,12.54760048157651,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.027262576055805707}",25,6,29.254698898304913,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.02678655142220922}",25,11,24.867023319500724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.02632108372774428}",35,22,12.966458259357513,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.025865879050801944}",25,11,20.343891237404762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.02542065355330607}",25,11,10.748984905190554,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.024985133063552357}",30,20,18.090875743611853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
