,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,Unnamed: 0,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
0,493017,8203,9987,2008/2009,2/27/09 0:00,HOME_WIN,68.25,59.0,61.0,53.33333333,62.0,58.0,63.0,64.2,0,0.5566233768,0.21987013,0.2235064936,0.539683187356,1.0,0.304053863803,0.0,0.0
1,493025,9984,8342,2008/2009,3/8/09 0:00,AWAY_WIN,70.5,66.0,67.33333333,64.0,73.0,64.0,68.0,66.66666667,1,0.1566666666,0.8233333334,0.02,0.415145239014,0.0,0.410856923,0.75,0.8433333334
2,493027,8635,10000,2008/2009,3/7/09 0:00,HOME_WIN,58.0,67.0,56.66666667,70.5,61.0,67.0,64.0,74.0,2,0.876388888833,0.0305555555,0.0930555556667,0.791096465106,1.0,0.226342429972,0.0,0.0611111111667
3,493034,8203,8635,2008/2009,3/13/09 0:00,HOME_WIN,69.5,62.33333333,69.25,55.0,67.0,61.0,74.0,65.5,3,0.393030303,0.5524242424,0.0545454546,1.0,1.0,0.587857440663,0.0,0.3466666666
4,493040,10000,9999,2008/2009,3/14/09 0:00,DRAW,64.0,58.0,58.5,61.33333333,64.0,61.0,60.33333333,64.0,4,0.33,0.33,0.33,0.328568204707,0.0,0.0204081632857,0.0,0.0204081632857
5,493045,9991,10000,2008/2009,3/22/09 0:00,HOME_WIN,57.0,67.5,55.0,66.66666667,61.0,71.0,64.0,70.4,5,0.544534632167,0.287391775,0.168073593167,0.642693917061,1.0,0.0,0.0,0.302777777667
6,493048,9999,8203,2008/2009,3/21/09 0:00,HOME_WIN,62.33333333,64.0,55.0,58.5,61.0,64.0,65.5,60.0,6,0.33,0.33,0.33,1.0,1.0,0.256479141519,0.256479141519,0.256479141519
7,493061,8635,8342,2008/2009,4/12/09 0:00,HOME_WIN,70.5,69.0,67.33333333,71.25,73.0,67.0,68.8,73.4,7,0.532106782167,0.222294372333,0.245598845667,1.0,1.0,1.0,1.0,0.0
8,493062,9999,9987,2008/2009,4/10/09 0:00,HOME_WIN,66.75,64.0,65.5,58.5,62.0,64.0,65.0,59.5,8,0.33,0.33,0.33,1.0,1.0,0.0,0.0,0.304053863803
9,493080,9984,9987,2008/2009,4/26/09 0:00,AWAY_WIN,70.0,62.0,65.6,63.33333333,62.0,64.0,66.0,66.33333333,9,0.2404761904,0.6865079364,0.073015873,0.0,0.0,0.0,0.0,0.6133333334
10,493082,9999,9991,2008/2009,4/26/09 0:00,AWAY_WIN,69.0,65.5,66.0,58.5,71.0,64.0,69.6,59.83333333,10,0.33,0.33,0.33,1.0,1.0,0.398433810975,0.398433810975,0.398433810975
11,493089,10000,9985,2008/2009,5/2/09 0:00,DRAW,56.0,58.0,71.0,58.25,63.0,61.0,72.33333333,64.2,11,0.275,0.0166666666667,0.708333333333,0.0,0.0,0.277130417217,0.0,0.0
12,493092,9991,9984,2008/2009,5/2/09 0:00,HOME_WIN,62.0,68.0,63.33333333,67.33333333,64.0,71.0,65.66666667,68.5,12,0.861111111,0.0,0.138888889,1.0,1.0,0.158152653429,0.158152653429,0.0
13,493094,10001,9999,2008/2009,5/2/09 0:00,HOME_WIN,65.0,66.0,58.5,63.0,64.0,67.0,59.85714286,64.5,13,0.33,0.33,0.33,0.334770218684,,0.0,0.0,0.0204081632857
14,493097,9985,8342,2008/2009,5/9/09 0:00,HOME_WIN,66.5,74.0,66.5,68.66666667,73.0,63.0,68.75,72.33333333,14,0.470833333333,0.3180555555,0.211111111167,0.619415555883,,0.5,0.5,0.0888888888333
15,493103,8635,9999,2008/2009,5/9/09 0:00,HOME_WIN,64.0,69.5,60.0,69.2,64.0,67.0,60.0,74.0,15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,493105,9984,10001,2008/2009,5/9/09 0:00,HOME_WIN,66.0,62.0,63.0,63.33333333,67.0,62.0,64.5,66.66666667,16,0.666666666667,0.333333333333,0.0,0.0,0.0,0.220695356393,0.220695356393,0.111111111
17,493106,9987,8635,2008/2009,5/16/09 0:00,AWAY_WIN,69.0,66.66666667,71.25,66.2,67.0,62.0,73.4,63.0,17,0.0,0.7534632034,0.2465367966,0.552966767269,,0.0,0.0,1.0
18,493107,9991,9985,2008/2009,5/16/09 0:00,AWAY_WIN,74.0,69.0,66.6,67.0,63.0,71.0,74.5,70.25,18,0.41005291,0.495767195833,0.0941798941667,1.0,1.0,0.0,0.0,0.436111111
19,665321,9984,9991,2009/2010,8/2/09 0:00,AWAY_WIN,69.5,65.0,67.5,64.33333333,71.0,64.0,67.75,66.83333333,19,0.0,1.0,0.0,0.333333333,0.215854978417,1.0,0.4566666666,0.9375
20,665322,9994,10000,2009/2010,8/1/09 0:00,DRAW,63.0,68.5,63.5,64.66666667,67.0,73.0,67.4,66.6,20,0.142857143,0.142857143,0.7142857145,0.361354501409,0.033482142875,0.0,0.18571428575,0.0
21,665323,8571,8635,2009/2010,8/1/09 0:00,AWAY_WIN,71.5,66.0,71.0,0.0,71.0,64.0,73.25,62.625,21,0.0,0.955,0.045,0.552947910295,0.374404761875,0.5,0.799659864,0.91
22,665411,8342,8635,2009/2010,10/4/09 0:00,HOME_WIN,71.5,70.0,69.0,68.33333333,71.0,73.0,71.75,67.2,22,0.0,1.0,0.0,0.5,0.5,0.75,1.0,0.2566666666
23,665417,8203,9994,2009/2010,10/3/09 0:00,HOME_WIN,67.33333333,65.5,64.66666667,57.5,61.0,70.0,66.5,64.0,23,0.251984127,0.748015873,0.0,1.0,1.0,0.0,0.0,0.33333333325
24,665421,9993,10001,2009/2010,10/3/09 0:00,HOME_WIN,63.5,62.5,65.0,64.5,67.0,64.0,62.0,69.25,24,0.6666666665,0.0,0.3333333335,0.5,0.5,0.0,0.0,0.0
25,665425,8342,9991,2009/2010,10/18/09 0:00,HOME_WIN,69.5,68.5,67.66666667,68.5,71.0,73.0,68.4,68.25,25,0.6087662338,0.0363636364,0.35487013,0.6,0.6,0.4,0.25,0.0
26,665427,9987,8203,2009/2010,10/18/09 0:00,AWAY_WIN,65.5,68.0,57.66666667,65.0,70.0,64.0,64.4,66.75,26,0.0,1.0,0.0,0.0,0.0,0.2,0.25,0.4566666666
27,665429,10000,9993,2009/2010,10/17/09 0:00,HOME_WIN,62.5,63.66666667,64.5,63.66666667,64.0,67.0,69.25,68.0,27,0.442857143,0.228571428667,0.328571428667,0.0,0.0,0.333333333,0.333333333,0.0
28,665430,9994,9984,2009/2010,10/17/09 0:00,DRAW,64.5,68.0,65.0,65.0,62.0,73.0,67.0,66.2,28,0.26825396825,0.2246031745,0.50714285725,0.0,0.0,0.0,0.0,0.0
29,665435,10001,9985,2009/2010,10/17/09 0:00,HOME_WIN,77.0,64.0,68.5,63.5,70.0,67.0,72.8,62.8,29,0.26626984125,0.57896825375,0.15476190475,0.25,0.0,0.5,0.5,0.27083333325
30,665438,9985,10000,2009/2010,10/24/09 0:00,DRAW,63.66666667,67.0,63.33333333,70.0,67.0,63.0,68.0,72.5,30,0.0,0.0,1.0,0.666666667,0.5,0.166666667,0.25,0.388888889
31,665443,9984,8571,2009/2010,10/24/09 0:00,DRAW,64.0,65.0,63.5,65.0,64.0,62.0,63.66666667,65.83333333,31,0.12291666675,0.62916666675,0.24791666675,0.25,0.2,0.25,0.25,0.20833333325
32,665445,8203,8635,2009/2010,10/25/09 0:00,AWAY_WIN,74.0,65.5,67.75,57.66666667,71.0,70.0,72.8,64.4,32,1.0,0.0,0.0,1.0,1.0,0.6,0.666666667,0.0
33,665536,8635,9994,2009/2010,10/31/09 0:00,HOME_WIN,67.5,74.0,57.5,68.6,61.0,71.0,66.16666667,70.5,33,0.85178571425,0.0,0.14821428575,0.75,0.6,0.0,0.0,0.0
34,665541,9991,9993,2009/2010,11/1/09 0:00,AWAY_WIN,62.5,69.5,65.0,67.66666667,64.0,71.0,68.33333333,67.6,34,0.177777777667,0.577777777667,0.244444444333,0.833333333,1.0,0.25,0.25,0.722222222333
35,665543,8571,8203,2009/2010,10/31/09 0:00,HOME_WIN,65.5,64.0,57.66666667,63.33333333,70.0,64.0,64.4,64.2,35,0.6722222224,0.0,0.3277777776,0.333333333,0.333333333,0.333333333,0.4,0.0
36,665548,9985,8342,2009/2010,11/8/09 0:00,HOME_WIN,69.0,77.0,67.6,66.2,73.0,70.0,68.25,72.25,36,1.0,0.0,0.0,0.5,0.333333333,0.5,0.666666667,0.0
37,665554,9984,10001,2009/2010,11/7/09 0:00,HOME_WIN,64.0,65.0,65.0,64.0,67.0,62.0,62.75,66.8,37,1.0,0.0,0.0,0.222222222,0.166666667,0.0,0.0,0.0
38,665556,9994,8571,2009/2010,11/7/09 0:00,DRAW,64.0,67.66666667,63.33333333,0.0,64.0,61.0,64.2,66.14285714,38,0.177777777667,0.355555555333,0.466666666667,0.0,0.0,0.2,0.2,0.388888889
39,665570,8635,9999,2009/2010,11/21/09 0:00,HOME_WIN,62.5,73.5,60.0,68.6,64.0,71.0,61.33333333,73.66666667,39,1.0,0.0,0.0,0.777777778,0.666666667,0.0,0.0,0.0
40,665574,10000,8203,2009/2010,11/22/09 0:00,HOME_WIN,65.5,64.0,59.33333333,60.66666667,70.0,67.0,63.8,67.2,40,0.3538095238,0.4038095238,0.2423809524,0.166666667,0.25,0.285714286,0.333333333,0.2966666666
41,665575,9991,9985,2009/2010,11/21/09 0:00,HOME_WIN,71.5,69.0,66.75,66.66666667,70.0,71.0,74.5,68.25,41,0.0,1.0,0.0,0.714285714,0.75,0.428571429,0.4,1.0
42,665586,8635,8571,2009/2010,11/27/09 0:00,HOME_WIN,66.0,72.66666667,63.66666667,70.6,67.0,71.0,65.0,72.5,42,1.0,0.0,0.0,0.8,0.714285714,0.166666667,0.166666667,0.0
43,665591,9991,9984,2009/2010,11/28/09 0:00,HOME_WIN,0.0,70.0,64.0,68.0,62.0,71.0,65.33333333,69.5,43,1.0,0.0,0.0,0.75,0.8,0.0,0.0,0.0
44,665596,9993,9999,2009/2010,11/28/09 0:00,HOME_WIN,66.0,67.5,61.5,65.6,64.0,66.0,63.0,69.0,44,0.33,0.33,0.33,0.6,0.6,0.0,0.0,0.0204081632857
45,665598,9985,9993,2009/2010,12/5/09 0:00,DRAW,67.5,69.0,65.6,70.66666667,66.0,71.0,69.0,74.0,45,0.0,0.0,1.0,0.6,0.5,0.4,0.4,0.0
46,665603,9984,8635,2009/2010,12/6/09 0:00,AWAY_WIN,72.0,64.0,70.6,63.75,71.0,64.0,74.0,66.8,46,0.0,1.0,0.0,0.3,0.285714286,0.666666667,0.75,0.58333333325
47,665604,9994,8342,2009/2010,12/6/09 0:00,AWAY_WIN,70.0,68.0,69.4,66.0,72.0,61.0,70.5,65.57142857,47,0.0,1.0,0.0,0.0,0.0,0.428571429,0.5,0.72916666675
48,665619,10000,9984,2009/2010,12/13/09 0:00,HOME_WIN,0.0,67.0,64.4,61.0,64.0,67.0,65.8,68.0,48,0.0,0.0,1.0,0.285714286,0.4,0.0,0.0,0.0
49,665626,8635,8342,2009/2010,2/3/10 0:00,HOME_WIN,70.0,73.0,69.6,70.6,72.0,71.0,70.25,74.0,49,0.5,0.5,0.0,0.833333333,0.777777778,0.5,0.571428571,0.0
50,665632,9994,9991,2009/2010,12/19/09 0:00,AWAY_WIN,69.0,68.0,68.0,66.0,71.0,61.0,69.5,65.57142857,50,0.0,1.0,0.0,0.0,0.0,0.333333333,0.2,0.4566666666
51,665633,8571,10001,2009/2010,12/19/09 0:00,DRAW,64.0,65.5,63.0,64.0,67.0,67.0,62.75,65.33333333,51,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.277777777667
52,665634,8203,9993,2009/2010,2/2/10 0:00,HOME_WIN,67.5,65.66666667,65.5,60.5,66.0,62.0,69.0,65.33333333,52,1.0,0.0,0.0,0.666666667,0.5,0.25,0.25,0.0
53,665326,8342,9994,2009/2010,8/9/09 0:00,HOME_WIN,68.5,70.0,64.0,67.66666667,73.0,73.0,66.71428571,69.0,53,0.75,0.23,0.02,0.680526011519,0.616326530571,0.199340678096,0.0,0.09
54,665327,8635,9984,2009/2010,8/8/09 0:00,HOME_WIN,67.5,71.5,64.33333333,71.0,62.0,71.0,66.2,74.5,54,0.68273809525,0.31726190475,0.0,1.0,0.746055796083,0.0,0.033482142875,0.0
55,665329,10000,9987,2009/2010,8/8/09 0:00,DRAW,65.5,64.0,65.25,63.66666667,64.0,67.0,65.0,67.4,55,0.0833333334,0.5533333334,0.3633333332,0.0,0.277678571375,0.333333333,0.0,0.2566666666
56,665330,9991,8203,2009/2010,8/9/09 0:00,HOME_WIN,67.0,70.0,60.33333333,67.0,61.0,71.0,64.5,68.16666667,56,0.7187301588,0.1015873016,0.1796825396,0.666666667,0.840327380875,0.0,0.294047619,0.09
57,665332,10001,8571,2009/2010,8/8/09 0:00,DRAW,67.0,63.0,63.0,63.0,64.0,67.0,63.125,63.25,57,0.4154761905,0.03571428575,0.548809524,1.0,0.0625,0.16296774768,0.147663139333,0.0
58,665333,9993,9985,2009/2010,8/7/09 0:00,DRAW,69.33333333,69.0,69.33333333,64.75,70.0,64.0,75.5,69.6,58,0.0,0.333333333333,0.666666666667,0.37149435034,0.401763668333,0.5,0.2524603174,0.277777777667
59,665639,8342,9984,2009/2010,12/26/09 0:00,HOME_WIN,64.0,70.0,64.75,69.5,64.0,72.0,65.6,70.8,59,1.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0,0.27083333325
60,665641,9985,9994,2009/2010,12/26/09 0:00,HOME_WIN,68.0,72.33333333,64.66666667,67.6,61.0,71.0,66.2,71.5,60,1.0,0.0,0.0,0.5,0.4,0.0,0.0,0.09
61,665647,9991,8635,2009/2010,12/27/09 0:00,DRAW,73.0,68.66666667,70.6,68.0,71.0,71.0,74.0,69.4,61,0.0,0.0,1.0,0.777777778,0.833333333,0.714285714,0.8,0.41666666675
62,665653,8635,10000,2009/2010,12/30/09 0:00,HOME_WIN,67.0,72.66666667,64.0,70.6,67.0,71.0,68.0,74.0,62,1.0,0.0,0.0,0.818181818,0.75,0.142857143,0.2,0.0
63,665655,9984,9985,2009/2010,12/29/09 0:00,HOME_WIN,72.5,64.0,68.0,64.5,71.0,64.0,71.5,65.6,63,0.0,0.0,1.0,0.272727273,0.25,0.375,0.333333333,0.20833333325
64,665657,9994,9993,2009/2010,12/30/09 0:00,HOME_WIN,67.5,67.0,65.16666667,65.0,66.0,61.0,68.5,65.83333333,64,0.0,1.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0
65,665659,8571,8342,2009/2010,12/30/09 0:00,AWAY_WIN,70.0,66.0,69.4,63.66666667,72.0,67.0,70.25,64.5,65,0.0,0.0,1.0,0.4,0.4,0.5,0.6,0.4566666666
66,665666,9985,8635,2009/2010,1/17/10 0:00,AWAY_WIN,73.0,74.5,70.6,69.5,71.0,71.0,74.0,72.25,66,0.0,0.0,1.0,0.571428571,0.5,0.625,0.666666667,0.6133333334
67,665672,9993,9984,2009/2010,1/17/10 0:00,AWAY_WIN,64.0,67.5,64.66666667,65.6,64.0,66.0,65.2,69.0,67,1.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0,0.611111111
